State,Hawker stalls category,Share (%)
Perlis ,Metal,17
Selangor,Metal,34
Terengganu ,Metal,15
Johor ,Metal,37
Kedah ,Metal,22
Kelantan ,Metal,21
Kuala Lumpur,Metal,39
Melaka ,Metal,36
Negeri Sembilan ,Metal,25
Pahang  ,Metal,30
Penang,Metal,35
Perak ,Metal,17
Perlis ,Large stall,30
Selangor,Large stall,14
Terengganu ,Large stall,31
Johor ,Large stall,15
Kedah ,Large stall,19
Kelantan ,Large stall,23
Kuala Lumpur,Large stall,15
Melaka ,Large stall,17
Negeri Sembilan ,Large stall,25
Pahang  ,Large stall,20
Penang,Large stall,18
Perak ,Large stall,14
Perlis ,One piece,26
Selangor,One piece,12
Terengganu ,One piece,28
Johor ,One piece,16
Kedah ,One piece,33
Kelantan ,One piece,25
Kuala Lumpur,One piece,10
Melaka ,One piece,24
Negeri Sembilan ,One piece,15
Pahang  ,One piece,20
Penang,One piece,26
Perak ,One piece,17
Perlis ,Table,16
Selangor,Table,19
Terengganu ,Table,16
Johor ,Table,10
Kedah ,Table,12
Kelantan ,Table,9
Kuala Lumpur,Table,15
Melaka ,Table,13
Negeri Sembilan ,Table,15
Pahang  ,Table,17
Penang,Table,6
Perak ,Table,10
Perlis ,Food truck,8
Selangor,Food truck,13
Terengganu ,Food truck,10
Johor ,Food truck,17
Kedah ,Food truck,8
Kelantan ,Food truck,14
Kuala Lumpur,Food truck,16
Melaka ,Food truck,15
Negeri Sembilan ,Food truck,10
Pahang  ,Food truck,10
Penang,Food truck,10
Perak ,Food truck,15
